,title,authors,average_rating,isbn,isbn13,num_pages,ratings_count,text_reviews_count,publication_date,publisher,publisher_family
3229,Safe Conduct: An Autobiography and Other Writings,Boris Pasternak/B. Deutsch,3.82,081120135X,9780811201353,256,83,8,2009-04-14,New Directions,New Directions
3230,Letters: Summer 1926,Boris Pasternak/Marina Tsvetaeva/Rainer Maria Rilke,4.26,0940322714,9780940322714,380,179,16,2001-10-31,NYRB Classics,NYRB
3231,Traveller,Richard  Adams,3.92,0440204933,9780440204930,355,884,74,1989-11-05,Dell Publishing,Dell
3232,The Plague Dogs,Richard  Adams,3.85,0345494024,9780345494023,390,5875,401,2006-11-28,Ballantine Books,Ballantine
3233,Maia (Beklan Empire #2),Richard  Adams,4.01,0670800333,9780670800339,1056,1719,133,1984-09-27,Viking Press,Viking
3234,The Girl in a Swing,Richard  Adams,3.52,0517391732,9780517391730,339,24,3,1982-10-01,Random House,Random House
3235,You Can't Go Home Again,Thomas Wolfe,4.04,0060930055,9780060930059,711,4025,265,1998-08-05,Harper Perennial,Harper Perennial
3236,Look Homeward  Angel,Thomas Wolfe,3.93,0743297318,9780743297318,644,11131,751,2006-10-10,Scribner,Scribner
3237,Of Time and the River: A Legend of Man's Hunger in His Youth,Thomas Wolfe/Pat Conroy,4.2,0684867850,9780684867854,896,777,45,1999-09-08,Scribner,Scribner
3238,Boys' Life & Search and Destroy,Howard Korder,3.76,0413712001,9780413712004,160,17,0,2006-12-01,Methuen Publishing,Methuen
3239,Complete Plays 1920–1931,Eugene O'Neill/Travis Bogard,4.18,0940450496,9780940450493,1092,90,9,1988-10-01,Library of America,Library of America
3240,Complete Plays 1913–1920,Eugene O'Neill/Travis Bogard,4.1,0940450488,9780940450486,1107,87,5,1988-10-01,Library of America,Library of America
3241,The Castle in the Forest,Norman Mailer,3.14,0394536495,9780394536491,477,2307,351,2007-01-23,Random House (NY),Random House
3242,The Naked and the Dead,Norman Mailer,3.94,0312265050,9780312265052,721,21004,620,2000-08-28,Picador,Picador
3243,The Executioner's Song,Norman Mailer,4.06,0375700811,9780375700811,1056,15682,952,1998-04-28,Vintage Books USA,Vintage
3244,The Big Empty: Dialogues on Politics  Sex  God  Boxing  Morality  Myth  Poker & Bad Conscience in America,Norman Mailer/John Buffalo Mailer,3.3,1560258241,9781560258247,218,67,10,2006-01-24,Nation Books,Nation Books
3245,The Armies of the Night: History as a Novel  the Novel as History,Norman Mailer,3.66,0452272793,9780452272798,304,2500,188,1995-01-01,Plume Books,Plume
3246,In Cold Blood,Truman Capote,4.07,0141182571,9780141182575,316,3500,313,2000-02-03,Penguin Classics,Penguin
3247,Cold Blood (Lorraine Page  #2),Lynda La Plante,3.92,0515124796,9780515124798,462,12,3,1999-04-01,Jove,Jove
3248,Amazing Disgrace (Gerald Samper #2),James Hamilton-Paterson,3.8,1933372192,9781933372198,320,221,34,2006-11-01,Europa Editions,Europa Editions
3249,Cry  the Beloved Country,Alan Paton,3.9,0099766817,9780099766810,240,767,85,2002-08-01,Vintage Classics,Vintage
3250,You Don't Know Jack (NY Girlfriends  #2),Erin McCarthy,3.72,075821409X,9780758214096,255,2757,119,2006-10-01,Brava,Brava
3251,The Sunset Limited,Cormac McCarthy,3.96,0307278360,9780307278364,160,6494,562,2006-10-24,Vintage,Vintage
3252,No Country for Old Men,Cormac McCarthy,4.14,0375706674,9780375706677,309,120421,6140,2006-07-11,Vintage,Vintage
3253,McCarthy's Bar: A Journey of Discovery in Ireland,Pete McCarthy,3.8,0312311338,9780312311339,338,8819,394,2003-03-03,St. Martin's Griffin,St. Martin's Griffin
3254,The Idiot,Fyodor Dostoyevsky/Anna Brailovsky/Joseph Frank/Constance Garnett/Alan Myers,4.18,0679642420,9780679642428,667,94133,2760,2003-04-08,Modern Library,Modern Library
3255,The Complete Idiot's Guide to Calculus,W. Michael Kelley,4.11,1592574718,9781592574711,352,64,9,2006-06-27,Alpha,Alpha
3256,True and False: Heresy and Common Sense for the Actor,David Mamet,3.95,0679772642,9780679772644,144,1876,147,1999-02-22,Vintage,Vintage
3257,On Directing Film,David Mamet,3.86,0140127224,9780140127225,107,2448,146,1992-01-01,Penguin Books,Penguin
3258,Book of Dreams,Jack Kerouac/Robert Creeley,3.44,0872863808,9780872863804,250,924,25,2001-05-01,City Lights Publishers,City Lights
3259,Three by Annie Dillard: Pilgrim at Tinker Creek  An American Childhood  The Writing Life,Annie Dillard,4.34,0060920645,9780060920647,617,562,42,1990-11-21,Harper Perennial,Harper Perennial
3260,Pilgrim at Tinker Creek,Annie Dillard,4.11,0072434171,9780072434170,288,17681,1596,2000-06-01,Harper Perennial,Harper Perennial
3261,An American Childhood,Annie Dillard,3.91,0060915188,9780060915186,255,7102,604,2013-10-15,Harper Perennial,Harper Perennial
3262,For the Time Being,Annie Dillard,4.16,0375703470,9780375703478,205,3172,380,2000-02-08,Vintage,Vintage
3263,The Maytrees,Annie Dillard,3.57,0061239534,9780061239533,216,4870,975,2007-06-12,Harper,Harper
3264,Plan B: Further Thoughts on Faith,Anne Lamott,4.05,1594481571,9781594481574,352,18922,865,2006-03-28,Riverhead Books,Riverhead
3265,All New People,Anne Lamott,3.63,1582430543,9781582430546,166,1562,111,1999-12-17,Counterpoint LLC,Counterpoint
3266,Operating Instructions: A Journal of My Son's First Year,Anne Lamott,4.19,1400079098,9781400079094,251,21507,1664,2005-03-08,Anchor,Anchor
3267,Stiff: The Curious Lives of Human Cadavers,Mary Roach,4.06,0141007451,9780141007458,304,1029,188,2004-07-01,Penguin,Penguin
3268,A Working Stiff's Manifesto: A Memoir of Thirty Jobs I Quit  Nine That Fired Me  and Three I Can't Remember,Iain Levison,3.83,0812967941,9780812967944,164,509,81,2003-04-08,Random House Trade,Random House
3269,Stiff Upper Lip  Jeeves (Jeeves  #13),P.G. Wodehouse,4.29,184159105X,9781841591056,211,6970,310,2002-12-17,Everyman's Library,Everyman's Library
3270,The Bonesetter's Daughter,Amy Tan,3.99,0345457374,9780345457370,387,108440,2689,2003-02-04,Ballantine Books,Ballantine
3271,The Kitchen God's Wife,Amy Tan,4.01,0143038109,9780143038108,416,66503,1661,2006-09-21,Penguin Books,Penguin
3272,The Moon Lady,Amy Tan/Gretchen Schields,3.97,0689806167,9780689806162,32,1388,64,1995-11-01,Aladdin,Aladdin
3273,The Short History of a Prince,Jane Hamilton,3.65,055299801X,9780552998017,432,1799,121,1999-04-01,Black Swan,Black Swan
3274,The Guardian,Jane Hamilton,3.72,0785282092,9780785282099,239,83,20,1994-12-31,Thomas Nelson Publishers,Thomas Nelson
3275,Sometimes a Great Notion,Ken Kesey/Charles Bowden,4.17,0143039865,9780143039860,715,577,80,2006-08-29,Penguin Classics,Penguin
3276,Trout Fishing in America / The Pill vs. the Springhill Mine Disaster / In Watermelon Sugar,Richard Brautigan,4.15,0395500761,9780395500767,400,8721,380,1989-03-01,Houghton Mifflin/Seymour Lawrence,Houghton Mifflin
3277,Revenge of the Lawn / The Abortion / So the Wind Won't Blow it All Away,Richard Brautigan,4.29,0395706742,9780395706749,544,2076,95,1995-02-21,Mariner Books,Mariner Books
3278,A Confederate General from Big Sur / Dreaming of Babylon / The Hawkline Monster,Richard Brautigan,4.25,0395547032,9780395547038,608,1724,103,1991-02-04,Mariner Books,Mariner Books
3279,An Unfortunate Woman,Richard Brautigan/Taylan Taftaf,3.78,0312277105,9780312277109,132,1349,77,2001-07-10,St. Martin's Griffin,St. Martin's Griffin
3280,The Collected Stories,Eudora Welty,4.23,0156189216,9780156189217,622,7084,202,1982-02-01,Mariner Books,Mariner Books
3281,Complete Novels: The Robber Bridegroom  Delta Wedding  The Ponder Heart  Losing Battles  The Optimist's Daughter,Eudora Welty/Richard Ford/Michael Kreyling,4.17,188301154X,9781883011543,1012,274,27,1998-08-01,Library of America,Library of America
3282,Eudora Welty: Photographs,Eudora Welty/Reynolds Price,4.43,0878055290,9780878055296,226,305,15,1993-10-21,University Press of Mississippi,University Press of Mississippi
3283,On Writing,Eudora Welty/Richard Bausch,4.04,0679642706,9780679642701,106,484,56,2002-09-24,Modern Library,Modern Library
3284,Essential Welty: Why I Live at the P.O.  A Memory  Powerhouse and Petrified Man,Eudora Welty,3.94,0061124192,9780061124198,1,92,28,2006-06-27,Caedmon,Caedmon
3285,Losing Battles,Eudora Welty,3.6,0679728821,9780679728825,436,433,59,1990-08-11,Vintage,Vintage
3286,The Eye of the Story: Selected Essays and Reviews,Eudora Welty,4.06,0679730044,9780679730040,368,102,11,1990-08-29,Vintage,Vintage
3287,The Golden Apples,Eudora Welty,3.88,015636090X,9780156360906,288,830,76,1956-09-14,Mariner Books,Mariner Books
3288,One Writer's Beginnings,Eudora Welty,4.06,0674639278,9780674639270,104,2717,232,1998-07-21,Harvard University Press,Harvard University Press
3289,The Spirit Catches You and You Fall Down: A Hmong Child  Her American Doctors  and the Collision of Two Cultures,Anne Fadiman,4.17,0374525641,9780374525644,341,60656,4194,1998-09-30,Noonday Press,Noonday Press
3290,Hegemony or Survival: America's Quest for Global Dominance,Noam Chomsky,3.97,0805076883,9780805076882,301,11173,345,2004-09-01,Holt McDougal,Holt McDougal
3291,The Chomsky-Foucault Debate: On Human Nature,Noam Chomsky/Michel Foucault/John Rajchman,3.94,1595581340,9781595581341,213,1953,116,2006-09-01,The New Press,The New Press
3292,Media Control: The Spectacular Achievements of Propaganda,Noam Chomsky,4.02,1583225366,9781583225363,103,4332,320,2002-09-03,Seven Stories Press,Seven Stories Press
3293,On Anarchism,Noam Chomsky/Barry Pateman,3.93,1904859208,9781904859208,256,4145,192,2005-05-01,AK Press,AK Press
3294,The Chomsky Reader,Noam Chomsky,3.98,1852421177,9781852421175,492,1643,38,1988-06-01,Serpent's Tail,Serpent's Tail
3295,Language and Mind,Noam Chomsky,3.86,052167493X,9780521674935,190,819,31,2006-12-01,Cambridge University Press,Cambridge University Press
3296,Perilous Power: The Middle East & US Foreign Policy,Noam Chomsky/Gilbert Achcar/Stephan R. Shalom,4.05,1594513120,9781594513121,242,270,16,2006-09-15,Routledge,Routledge
3297,What Uncle Sam Really Wants,Noam Chomsky/Arthur Naiman/David Barsamian/Sandy Niemann,3.99,1878825011,9781878825018,111,1679,133,1992-01-01,Odonian Press,Odonian Press
3298,Imperial Ambitions: Conversations on the Post-9/11 World,Noam Chomsky/David Barsamian,3.97,080507967X,9780805079678,226,1776,90,2005-10-05,Metropolitan Books/Henry Holt & Co. (NY),Metropolitan Books
3299,On MisEducation (Critical Perspectives),Noam Chomsky/Donaldo Macedo,3.76,0742529789,9780742529786,199,282,20,2004-02-23,Rowman & Littlefield Publishers,Rowman & Littlefield
3300,Aspects of the Theory of Syntax,Noam Chomsky,3.96,0262530074,9780262530071,261,296,10,1969-03-15,MIT Press (Cambridge  MA),MIT Press
3301,On Democracy & Education (Social Theory  Education & Cultural Change),Noam Chomsky/C.P. Otero,3.96,0415926327,9780415926324,480,84,5,2002-11-22,Routledge Falmer,Routledge
3302,Cat Breaking Free (Joe Grey  #11),Shirley Rousseau Murphy,4.22,0060578122,9780060578121,375,225,20,2006-10-01,Avon,Avon
3303,Confessions,Jean-Jacques Rousseau/Patrick Coleman/Angela Scholar,3.62,0192822756,9780192822758,676,4919,160,2000-05-18,Oxford University Press,Oxford University Press
3304,Cat Cross Their Graves (Joe Grey  #10),Shirley Rousseau Murphy,4.32,0060578114,9780060578114,385,504,28,2005-09-27,Avon,Avon
3305,The Social Contract,Jean-Jacques Rousseau/Maurice Cranston,3.77,0143037498,9780143037491,168,29090,451,2006-05-30,Penguin,Penguin
3306,Cat in the Dark (Joe Grey  #4),Shirley Rousseau Murphy,4.25,0061059471,9780061059476,320,723,36,1999-11-03,Avon,Avon
3307,The Source,James A. Michener,4.3,0375760385,9780375760389,1080,34972,1149,2002-07-09,Random House Trade Paperbacks,Random House
3308,Hawaii,James A. Michener,4.2,0375760377,9780375760372,1136,66298,1383,2002-07-09,Dial Press Trade Paperback,Dial Press
3309,Chesapeake,James A. Michener,4.18,0812970438,9780812970432,1024,19174,664,2003-09-09,Dial Press,Dial Press
3310,Caravans,James A. Michener,4.05,0812969820,9780812969825,320,4753,400,2003-09-09,Dial Press Trade Paperback,Dial Press
3311,Iberia,James A. Michener/Robert Vavra,3.71,0449207331,9780449207338,960,2153,152,1984-10-12,Fawcett Crest Books,Fawcett
3312,Centennial,James A. Michener,4.24,0449452697,9780449452691,1086,95,13,1989-07-01,Fawcett Books,Fawcett
3313,The Shining,Stephen King,4.22,0743437497,9780743437493,505,1316,134,2002-10-01,Gallery Books,Gallery Books
3314,The Shining,Stephen King/Campbell Scott,4.22,0743536991,9780743536998,0,13,0,2005-08-02,Simon & Schuster Audio,Simon & Schuster
3315,The Shining,Stephen King,4.22,1417618256,9781417618255,505,8,2,2002-10-01,Turtleback Books,Turtleback
3316,Marley & Me: Life and Love with the World's Worst Dog,John Grogan,4.13,0061238228,9780061238222,306,697,158,2006-10-31,William Morrow,William Morrow
3317,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,4.13,0739461192,9780739461198,291,414947,12116,2005-10-18,William Morrow; 1ST edition,William Morrow
3318,Wuthering Heights,Emily Brontë/Alice Hoffman,3.85,0451529251,9780451529251,322,1898,201,2004-03-02,Signet Classics,Signet
3319,Brodie's notes on Aldous Huxley's brave new world,Graham Handley,0.0,0333581296,9780333581292,71,0,0,1992-08-20,Macmillan,Macmillan
3320,The Moon Is Down,John Steinbeck,3.9,0141185538,9780141185538,144,15806,996,2000-11-30,Penguin Classics,Penguin
3321,Ride the Moon Down,Terry C. Johnston,4.15,0553572822,9780553572827,576,103,4,1999-07-06,Bantam,Bantam
3322,Drawing Down the Moon: Witches  Druids  Goddess-Worshippers  and Other Pagans in America,Margot Adler,4.02,0143038192,9780143038191,672,6509,209,2006-10-03,Penguin Books,Penguin
3323,Sing Down the Moon,Scott O'Dell,3.74,0440979757,9780440979753,124,6548,356,1997-03-26,Laurel Leaf Library,Laurel Leaf
3324,Light in August,William Faulkner,3.94,067964248X,9780679642480,460,329,35,2002-04-02,Modern Library,Modern Library
3325,The Transit of Venus,Shirley Hazzard,3.89,1860491812,9781860491818,352,1681,276,1995-10-05,Virago,Virago
3326,Kingsblood Royal,Sinclair Lewis/Charles R. Johnson,3.97,0375756868,9780375756863,352,77,11,2001-04-10,Modern Library,Modern Library
3327,Swann's Way (In Search of Lost Time  #1),Marcel Proust/Lydia Davis,4.14,0142437964,9780142437964,492,30493,1767,2004-11-30,Penguin Classics,Penguin
3328,Swann's Way (Remembrance of Things Past  #1),Marcel Proust/C.K. Scott Moncrieff/Elizabeth Dalton,4.14,1593083777,9781593083779,466,17,9,2005-10-01,Barnes & Noble Books,Barnes & Noble
3329,Swann's Way (Remembrance of Things Past  #1),Marcel Proust/C.K. Scott Moncrieff,4.14,1414243677,9781414243672,380,1,0,2005-01-01,IndyPublish.com,IndyPublish.com
3330,Lady of the Lake,Elizabeth Mayne,3.27,0373289804,9780373289806,304,70,6,1997-07-25,Harlequin Historical,Harlequin
3331,A Kiss Before Dying,Ira Levin/Otto Penzler,3.94,0786711647,9780786711642,242,6548,556,2003-04-07,Carroll & Graf Publishers,Carroll & Graf
3332,A Kiss Before Dying (Sweet Valley High  #122),Francine Pascal/Kate William,3.67,0553566407,9780553566406,197,267,7,1996-02-01,Bantam,Bantam
3333,The Satanic Verses,Salman Rushdie,3.71,014011890X,9780140118902,560,11,0,1988-09-26,Penguin Books Ltd,Penguin
3334,The City of Falling Angels,John Berendt,3.54,0143036939,9780143036937,414,12741,1494,2006-09-26,Penguin Books,Penguin
3335,Falling Angel,William Hjortsberg/Ridley Scott/James Crumley,3.92,1933618086,9781933618081,302,2243,220,2006-11-01,Millipede Press,Millipede Press
3336,Falling Angels (Luc Actar #1),Melissa M. Garcia,4.67,0595377106,9780595377107,216,1,0,2006-02-14,iUniverse,iUniverse
3337,The Collaborator: The Trial and Execution of Robert Brasillach,Alice Kaplan,3.9,0226424154,9780226424156,308,77,14,2001-11-01,University of Chicago Press,University of Chicago Press
3338,Ulysses,James Joyce/Craig Raine,3.73,0679455132,9780679455134,1084,250,38,1997-10-28,Everyman's Library,Everyman's Library
3339,The Crazed,Ha Jin,3.5,0434010537,9780434010530,336,15,1,2002-10-03,Arrow (A Division of Random House Group),Arrow
3340,Chickenhawk: Back in the World Again: Life After Vietnam,Robert Mason,4.09,0140158766,9780140158762,400,175,17,1994-05-01,Penguin Books,Penguin
3341,Nuns and Soldiers,Iris Murdoch/Karen Armstrong,3.93,0142180092,9780142180099,512,503,34,2002-07-30,Penguin Classics,Penguin
3342,Sir Gawain And The Green Knight,Michael Morpurgo/Michael Foreman,3.94,0744586461,9780744586466,120,21,5,2004-11-01,Walker,Walker
3343,Cliffs Notes on Wiesel's Night,Maryam Riess,3.4,0822008939,9780822008934,80,5,1,1996-08-22,Cliffs Notes,Cliffs Notes
3344,The Night Trilogy: Night  Dawn  the Accident,Elie Wiesel/Marion Wiesel,4.29,0374521409,9780374521400,318,2439,255,1987-09-01,Hill and Wang,Hill and Wang
3345,Strong Motion,Jonathan Franzen,3.52,184115749X,9781841157498,528,3996,278,2007-06-01,Fourth Estate (GB),Fourth Estate
3346,How to Be Alone,Jonathan Franzen,3.59,0007153589,9780007153589,306,336,33,2007-07-02,Harper Perennial,Harper Perennial
3347,The Twenty-Seventh City,Jonathan Franzen,3.12,0312420145,9780312420147,528,3621,330,2001-09-08,Picador USA,Picador
3348,Second Ring of Power,Carlos Castañeda,4.03,0671732471,9780671732479,328,2779,33,1991-04-01,Washington Square Press,Washington Square Press
3349,The Active Side of Infinity,Carlos Castañeda,4.16,006092960X,9780060929602,288,1952,70,1999-12-22,Harper Perennial,Harper Perennial
3350,Journey to Ixtlan,Carlos Castañeda,4.12,0671732463,9780671732462,272,8541,257,1991-02-01,Washington Square Press,Washington Square Press
3351,The Wheel of Time: The Shamans of Mexico Their Thoughts About Life Death & the Universe,Carlos Castañeda,4.03,074341280X,9780743412803,304,956,37,2001-01-01,Washington Square Press,Washington Square Press
3352,Power of Silence,Carlos Castañeda,4.22,067173248X,9780671732486,288,2253,53,1991-06-01,Washington Square Press,Washington Square Press
3353,Tales of Power,Carlos Castañeda,4.13,0671732528,9780671732523,304,4657,89,1991-01-01,Washington Square Press,Washington Square Press
3354,Fire from Within,Carlos Castañeda,4.14,0671732501,9780671732509,304,2554,67,1991-01-01,Washington Square Press,Washington Square Press
3355,The Art of Dreaming,Carlos Castañeda,4.1,1855384272,9781855384279,260,3618,97,2004-02-16,Element,Element
3356,The Best Stories of Fyodor Dostoevsky,Fyodor Dostoyevsky/David Magarshack,4.26,0345481267,9780345481269,352,110,6,2005-07-26,Modern Library,Modern Library
3357,The Best Short Stories,Fyodor Dostoyevsky/David Magarshack,4.26,0375756884,9780375756887,320,2711,89,2001-02-13,Modern Library,Modern Library
3358,Demons,Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky,4.27,0375411224,9780375411229,733,214,27,2000-10-24,Everyman's Library,Everyman's Library
3359,The Idiot,Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky,4.18,0375702245,9780375702242,633,2710,294,2003-07-08,Vintage Classics,Vintage
3360,Great Short Works of Fyodor Dostoevsky,Fyodor Dostoyevsky/Ronald Hingley,4.42,0060726466,9780060726461,768,1330,29,2004-07-06,Harper Perennial Modern Classics,Harper Perennial
3361,The Idiot,Fyodor Dostoyevsky/Constance Garnett/Joseph Frank,4.18,1593080581,9781593080587,578,442,52,2004-01-16,Barnes  Noble Classics,Barnes & Noble
3362,Celtic Tree Mysteries: Practical Druid Magic & Divination,Steve Blamires/Sandy Leuthner,3.92,1567180701,9781567180701,278,192,5,2002-10-08,Llewellyn Publications,Llewellyn Publications
3363,Rebecca,Daphne du Maurier/Sally Beauman,4.23,1844080382,9781844080380,441,179639,8119,2007-12-01,Virago Press (UK),Virago Press
3364,Betraying Spinoza: The Renegade Jew Who Gave Us Modernity,Rebecca Goldstein,3.92,0805242090,9780805242096,304,536,79,2006-05-30,Schocken,Schocken
3365,Shadow of the Moon (Moon #5),Rebecca York,3.79,042520961X,9780425209615,336,534,25,2006-06-06,Berkley Sensation,Berkley
3366,Black Lamb and Grey Falcon,Rebecca West/Christopher Hitchens,4.23,014310490X,9780143104902,1181,1623,228,2007-01-30,Penguin Classics,Penguin
3367,Operation Shylock: A Confession,Philip Roth,3.77,009930791X,9780099307914,400,3115,188,1994-06-16,Vintage,Vintage
3368,Lost in the Funhouse,John Barth,3.7,0385240872,9780385240871,205,5052,305,1988-03-01,Anchor Books,Anchor
3369,CliffsNotes on Faulkner's As I Lay Dying (Cliffs Notes),James Lamar Roberts/William Faulkner/CliffsNotes,3.73,0822002108,9780822002109,72,10,3,1964-03-13,Cliffs Notes,Cliffs Notes
3370,The Sound and the Fury  As I Lay Dying  Sanctuary  Intruder in the Dust,William Faulkner,4.05,0706432088,9780706432084,760,8,1,1988-03-12,Octopus Books,Octopus Books
3371,CliffsNotes on Faulkner's Absalom  Absalom!,James Lamar Roberts/CliffsNotes,3.12,0822001101,9780822001102,64,8,1,1964-02-28,Cliffs Notes,Cliffs Notes
3372,The Aeneid,Virgil/Robert Fagles/Bernard Knox,3.84,0670038032,9780670038039,486,892,117,2006-11-02,Viking,Viking
3373,The Aeneid,Virgil/Robert Fitzgerald,3.84,0679729526,9780679729525,442,87406,1182,1990-06-16,Vintage,Vintage
3374,The Aeneid,Virgil/David   West,3.84,0140449329,9780140449327,290,996,96,2003-03-27,Penguin Books Ltd,Penguin
3375,Aeneid,Virgil/Stanley Lombardo/W. R. Johnson,3.84,0872207315,9780872207318,340,319,27,2005-03-15,Hackett Publishing Company  Inc.,Hackett
3376,The Castle of Otranto,Horace Walpole/E.F. Bleiler/Walter Scott,3.18,0486434125,9780486434124,106,237,39,2004-03-19,Dover Publications,Dover Publications
3377,The Castle of Otranto,Horace Walpole,3.18,0192834401,9780192834409,125,16370,1211,1998-07-16,Oxford University Press,Oxford University Press
3378,Messenger (The Giver  #3),Lois Lowry,3.91,0385732538,9780385732536,169,93589,6654,2006-08-22,Ember,Ember
3379,Gossamer,Lois Lowry,3.9,0618685502,9780618685509,144,13788,1554,2006-04-24,HMH Books for Young Readers,Houghton Mifflin Harcourt
3380,Anastasia on Her Own (Anastasia Krupnik  #5),Lois Lowry,3.9,0440402913,9780440402916,160,1521,44,1986-06-01,Yearling Books,Yearling
3381,Stay!: Keeper's Story,Lois Lowry/True Kelley,3.93,0440415241,9780440415244,128,194,32,1999-03-09,Yearling,Yearling
3382,Gathering Blue (The Giver  #2),Lois Lowry,3.82,0385732562,9780385732567,240,132584,9341,2000-09-25,Delacorte Press,Delacorte Press
3383,See You Around  Sam! (Sam Krupnik  #3),Lois Lowry/Diane deGroat,3.71,0440414008,9780440414001,128,244,15,1998-03-09,Yearling,Yearling
3384,King Lear,William Shakespeare,3.91,074348276X,9780743482769,338,154195,2806,2004-01-01,Simon  Schuster,Simon & Schuster
3385,King Lear,William Shakespeare/Roma Gill,3.91,019832054X,9780198320548,192,269,24,2002-12-12,Oxford University Press,Oxford University Press
3386,King Lear,William Shakespeare/R.A. Foakes,3.91,1903436591,9781903436592,455,1796,98,1997-05-09,Bloomsbury Arden Shakespeare,Bloomsbury
3387,King Lear,William Shakespeare/Barbara A. Mowat/Paul Werstine,3.91,0743484959,9780743484954,384,215,11,2005-08-01,Simon  Schuster,Simon & Schuster
3388,The Turn of the Screw (Norton Critical Edition),Henry James/Deborah Esch/Jonathan Warren,3.43,039395904X,9780393959048,271,790,93,1999-07-17,W. W. Norton & Co.,W. W. Norton & Co.
3389,The Turn of the Screw and The Aspern Papers,Henry James/Anthony Curtis,3.79,0141439904,9780141439907,272,6769,270,2003-06-26,Penguin Books,Penguin
3390,The Turn of the Screw and Other Short Fiction,Henry James/R.W.B. Lewis,3.8,0553210599,9780553210590,527,3083,134,2008-11-01,Bantam Classic,Bantam
3391,The Turn of the Screw,Henry James/Peter G. Beidler,3.43,0312406916,9780312406912,386,616,77,2003-11-06,Bedford Books,Bedford
3392,Much Ado about Nothing,William Shakespeare/Mary Berry/Michael Clamp,4.07,052161872X,9780521618724,196,128,12,2005-09-01,Cambridge University Press,Cambridge University Press
3393,Much Ado About Nothing,William Shakespeare/David L. Stevenson,4.07,0451526813,9780451526816,166,1230,62,1998-07-01,Signet Classic,Signet
3394,Much Ado about Nothing (Oxford School Shakespeare),William Shakespeare/Roma Gill,4.07,0198320566,9780198320562,160,13,2,2002-12-12,Oxford University Press  USA,Oxford University Press
3395,Much Ado about Nothing,William Shakespeare/Samuel West/Amanda Root/Arkangel Cast,4.07,1932219250,9781932219258,18,38,7,2005-11-30,BBC Audiobooks America,BBC
3396,Much Ado about Nothing,William Shakespeare/F.H. Mares,4.07,0521532507,9780521532501,188,73,12,2003-04-21,Cambridge University Press,Cambridge University Press
3397,Winter's Tale,Mark Helprin,3.5,0156031191,9780156031196,748,21851,3510,2005-06-01,Mariner Books,Mariner Books
3398,Winter's Tales,Isak Dinesen/Karen Blixen,3.9,0679743340,9780679743347,320,1464,100,1993-06-01,Vintage,Vintage
3399,Twelfth Night,William Shakespeare/Alan Durband,3.98,0812036042,9780812036046,256,157,18,1996-08-01,Barrons Educational Series,Barron's
3400,Twelfth Night,William Shakespeare/Barbara A. Mowat/Paul Werstine,3.98,0743484967,9780743484961,222,188,14,2005-08-01,Simon  Schuster,Simon & Schuster
3401,Twelfth Night,William Shakespeare,3.98,0141014709,9780141014708,240,199,21,2005-04-07,Penguin Classics,Penguin
3402,Tempest (Star Wars: Legacy of the Force  #3),Troy Denning,3.82,0345477529,9780345477521,400,5704,94,2006-11-28,Del Rey,Del Rey
3403,Red: Passion and Patience in the Desert,Terry Tempest Williams,4.02,0375725180,9780375725180,288,1309,107,2002-10-08,Vintage,Vintage
3404,Hamlet  The Texts of 1603 and 1623,William Shakespeare/Neil Taylor,4.27,1904271553,9781904271550,384,15,0,2006-03-22,Bloomsbury Arden Shakespeare,Bloomsbury
3405,Hamlet's Dresser: A Memoir,Bob      Smith,3.74,0684852705,9780684852706,288,375,63,2003-02-01,Scribner,Scribner
3406,The Hamlet,William Faulkner,3.87,0679736530,9780679736530,409,4208,216,1991-10-29,Vintage International,Vintage
3407,Othello,William Shakespeare,3.89,0743477553,9780743477550,314,273070,4265,2004-01-01,Simon  Schuster,Simon & Schuster
3408,Othello,William Shakespeare/David Threlfall/Don Warrington/Anne-Marie Duff/Arkangel Cast,3.89,1932219269,9781932219265,3,48,3,2005-09-15,Audio Partners,Audio Partners
3409,Othello,William Shakespeare/Barbara A. Mowat/Paul Werstine,3.89,0743482824,9780743482820,368,493,25,2004-08-01,Simon  Schuster,Simon & Schuster
3410,Julius Caesar,William Shakespeare/Roma Gill,3.68,0198320272,9780198320272,128,138685,2595,2002-10-17,Oxford University Press  USA,Oxford University Press
3411,Julius Caesar,William Shakespeare/John   Bowe/Michael Feast/Adrian Lester,3.68,1932219161,9781932219166,3,53,3,2005-06-01,Audio Partners,Audio Partners
3412,Julius Caesar,William Shakespeare/Marvin Spevack/Marga Munkelt,3.68,0521535131,9780521535137,226,51,2,2004-05-24,Cambridge University Press,Cambridge University Press
3413,Julius Caesar,William Shakespeare/SparkNotes,3.68,1586638475,9781586638474,256,769,78,2003-07-03,SparkNotes,SparkNotes
3414,Cliffsnotes on Shakespeare's Henry IV  Part 1,James K. Lowers/William Shakespeare/CliffsNotes,3.88,0822000237,9780822000235,80,17,0,1960-06-15,Cliffs Notes,Cliffs Notes
3415,King Henry IV  Part 1,William Shakespeare/David Scott Kastan,3.83,1904271359,9781904271352,398,17782,493,2002-11-07,Bloomsbury Arden Shakespeare,Bloomsbury
